"reviewer","comment_id","original_comment","issue_type","manuscript_locations","appendix_locations","evidence_files","figure_table_assets","action_required","action_taken","status","rebuttal_draft","unresolved_reason"
"Editor","ED-1","Major revision invited; provide a line-by-line response and outline every change.","editorial","Entire manuscript; figures; tables; conclusions","Entire appendix; review package","review/reviewer_comments.md; review/reviewer_response_tracker.csv; review/response_to_reviewers.md; review/CHANGES_LOG.md; paper/tex/main.log","All revised figures and tables","Create atomic tracker coverage and synchronize manuscript, appendix, rebuttal, change log, unresolved log, and build record.","Expanded the tracker to atomic IDs, rewrote the manuscript around the seed summaries, tightened the appendix audit and transfer text, bundled the Elsevier support files into paper/tex, completed a successful local latexmk build, and synchronized the rebuttal draft and logs.","partial","We converted the review into an atomic response matrix, tied each substantive manuscript change to specific evidence files, and verified a successful local build of the submission package.","A small set of evidence-limit items remains partial: R1-HR5, R1-WX1, R1-WX4, and R1-Q4."
"Editorial package","BUILD-CHECK","Verify that the revised manuscript compiles locally and document the final build path for submission.","build","paper/tex/main.tex; paper/tex/appendix.tex; paper/tex/cas-sc.cls; paper/tex/cas-common.sty; paper/tex/cas-model2-names.bst","Standalone package; review package","paper/tex/main.log; paper/tex/main.pdf; review/OVERLEAF_UPLOAD_CHECKLIST.md","Standalone paper package","Vendor the Elsevier support files into the paper project, compile locally, inspect the log, and update the submission checklist.","Vendored cas-sc.cls, cas-common.sty, and cas-model2-names.bst into paper/tex, ran latexmk -pdf -bibtex main.tex successfully under texlive/20220321, and updated the checklist to distinguish successful local compilation from the remaining minor layout warnings.","addressed","We verified a successful local build of the standalone paper package and documented the exact command sequence and remaining minor layout warnings in the updated checklist.",""
"Reviewer 1","R1-HR1","The paper makes progressive allocation appear emergent even though the reviewer argues this may be imposed by allocation bounds and should be compared against non-progressive cases.","methods","Abstract; Introduction; Policy Analysis Results; Cross-Policy Synthesis; Conclusions","Parameter Specifications; Optimisation Methodology","MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py; cross_policy_analysis_results/income_share_at_optima.csv","Figure 22; Figure 23; Table progressive_structure","State the true bounds and remove any wording that treats progressive allocation as hard-coded or emergent from unequal constraints.","Rewrote the manuscript to state that all 12 allocation variables currently use 0.0-0.8 bounds and that low-income-favoring outcomes are empirical results of the revised experiments.","addressed","The revised paper now reports the low-income-favoring pattern as an observed outcome under uniform bounds rather than as a consequence of imposed progressive constraints.",""
"Reviewer 1","R1-HR2","The reviewer asks whether the study is mono-objective or multi-objective and notes that the optimization framing is unclear.","methods","Abstract; Introduction; Optimisation Methodology; Conclusions","Optimisation Methodology","MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py","Algorithm 2","Clarify that the workflow uses separate single-objective runs followed by cross-policy synthesis.","Rewrote the abstract, methods, and conclusion to describe three separate single-objective Bayesian optimisations plus a comparative synthesis stage.","addressed","We now describe the workflow explicitly as three single-objective optimisation studies followed by a comparative synthesis, not as a joint multi-objective optimiser.",""
"Reviewer 1","R1-HR3","The reviewer asks how stochasticity was handled and whether simulations were repeated enough to support robust conclusions.","reproducibility","Abstract; Optimisation Methodology; Policy Analysis Results; Conclusions","Calibration and Validation","MaaS-Centralised/spf_abm_analysis_separate/evaluate_mode_share_seeds.py; MaaS-Centralised/mae_seed_opt_runs/merged_summary_20260222_122159/summary_mean_std_ci95.csv; MaaS-Centralised/Travel_time_equity_seed_opt_runs/merged_summary_20260225_161313/summary_mean_std_ci95.csv; MaaS-Centralised/Total_system_travel_time_seed_opt_runs/merged_summary_20260228_133748/total_system_travel_time__summary_mean_std_ci95.csv; MaaS-Centralised/det_fixed_policy_runs/fixed_policy_3500_seed0/fixed_policy_fps_results.csv","Figures 7/12/17 replacements; Figures 27-29","Replace single-run claims with repeated-seed summaries and explain deterministic control.","Rewrote the methods and results around the 30-seed merged summaries and added the deterministic fixed-policy control as a mechanism check for stochastic irregularity.","addressed","The revised manuscript reports means, 95 percent confidence intervals, and deterministic-control interpretation instead of relying on single-run objective traces.",""
"Reviewer 1","R1-HR4","The reviewer asks why the metrics are not unified in scale and requests explicit metric units and interpretation.","metrics","Framework metric definitions; Optimisation Methodology; Cross-Policy Synthesis","Policy Objectives and Metrics","paper/tex/main.tex; paper/tex/appendix.tex; cross_policy_analysis_results/top_performing_policies.csv","Figures 22-29","State units and interpretation for each metric and avoid implying raw-scale comparability.","Revised the metric definitions so mode-share equity is described as dimensionless, travel-time equity as minutes, and total system travel time as minutes; clarified that cross-objective rankings use explicit normalization only for decision support.","addressed","We now report the units and interpretive scope of each metric explicitly and confine cross-metric comparisons to labelled normalized views.",""
"Reviewer 1","R1-HR5","The reviewer asks whether the model has been presented previously and whether an open-source implementation can be provided for reproducibility.","reproducibility","Optimisation Methodology","Calibration and Validation","git remote origin; paper/tex/main.tex; review/unresolved_issues.md","None","Add a code-availability statement and describe the reproducibility workflow accurately.","Added a code-availability and reproducibility paragraph with the GitHub repository URL and the revised evidence workflow.","partial","We added the repository URL and described the scripts, merged summaries, and deterministic-control workflow used in the revision.","Public visibility and archival release details were not independently verified from the local environment."
"Reviewer 1","R1-WX1","The ABM design and implementation must be clearly described and validated before drawing conclusions.","modeling","Introduction; Framework description; Limitations","Calibration and Validation","paper/tex/main.tex; paper/tex/appendix.tex; paper/Images/1_abm_etop_framework_fixed.png","Figure 1; Algorithm 1","Clarify model scope, agent interactions, and the current status of validation.","Rewrote the introduction and framework sections to describe the model as a stylised subsidy-allocation scenario tool, regenerated Figure 1 to remove a misleading visual cue, and replaced the old validation table with a clearer calibration and internal-checks discussion.","partial","The revised manuscript now distinguishes implementation audit, repeated-seed robustness, deterministic control, and a corrected architecture schematic from full empirical calibration.","A full external empirical validation study is still outside the current evidence package."
"Reviewer 1","R1-WX2","The model only considers shared cars, shared bikes, and public transport; why are private cars and private bikes not considered?","scope","Introduction; Policy Implications; Limitations","Agent-Based Model Development","paper/tex/main.tex; paper/tex/appendix.tex","None","Explain the modal scope and why private ownership modes are excluded from the current policy instrument.","Added explicit text that the current study concerns subsidies delivered through MaaS and service-based modes, not ownership, parking, or fuel policies.","addressed","We clarified that private vehicle ownership is outside the current instrument design and listed it as an important extension for future work.",""
"Reviewer 1","R1-WX3","The simulation setup is not sufficiently clear: why Niter = 144, what are the 10 initial matrices, how was the fictional environment defined, and how many repetitions were done?","methods","Optimisation Methodology; Policy Analysis Results","Parameter Specifications; Optimisation Methodology","MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py","Algorithm 2","Separate simulation time steps from BO iterations and document the current environment and seed workflow.","Rewrote the methods and appendix to state the 100x100 grid, 200 commuters, 144 within-run time steps, 8 Latin-hypercube initial samples, 10 or 3 BO updates by objective, and 30-seed evaluation.","addressed","The revised paper now explains the sampled FPS set, BO initialization, objective-specific BO updates, simulation horizon, and repeated-seed evaluation clearly.",""
"Reviewer 1","R1-WX4","References and sources are missing for many parameter values and assumptions, including value of time, congestion parameters, sensitivity coefficients, network parameters, benefits assumptions, and Australian data used for monetised benefits.","sources","Methods; Policy Implications","Parameter Specifications; Calibration and Validation; Competing Benefits Calculation","paper/tex/appendix.tex; MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py; Kantana-Job-Script/mode_share_optimization.pbs; Kantana-Job-Script/mae_sim_array.pbs","Table definitive_params; appendix tables","Audit which values are script-defined, which are externally sourced, and remove unsupported benefit assumptions.","Replaced the appendix parameter sections with audited script values, documented the scripted commuter-attribute weights and preserved PBS resource requests, removed the unsupported monetized-benefit claims from the manuscript, and converted the appendix competing-benefits section into a status note.","partial","We now separate audited implementation parameters, preserved job-resource records, and external calibration claims, and we no longer rely on unsupported monetized-benefit numbers.","The revision still does not add external literature support for every behavioural parameter because the current evidence package is primarily an implementation audit."
"Reviewer 1","R1-WX5","The description of Algorithm 1 is incomplete; define S, P, A, and E and explain the time scale of pricing and BPR routing updates.","methods","Framework formalization; Simulation process","Parameter Specifications","paper/tex/main.tex; paper/tex/appendix.tex","Algorithm 1; Table key_equations","Clarify the vector definitions and distinguish exogenous environment from endogenous demand.","Revised the main text and appendix to define S, P, A, and E more clearly, explain that demand is endogenous, and note that pricing and routing updates occur within the 144-step simulation horizon.","addressed","The revised appendix now distinguishes exogenous environment variables from endogenous trip generation and clarifies within-run update timing.",""
"Reviewer 1","R1-WX6","Table 6 baseline modal share distributions by income group appear unrealistic and do not sum to 100%; explain why.","results","Policy Analysis Results","Competing Benefits Calculation status note","paper/tex/main.tex; MaaS-Centralised/spf_abm_analysis_separate/visualization_outputs/mode_share_baseline.csv","Legacy baseline mode-share table","Remove or explicitly quarantine unsupported baseline mode-share claims.","Removed the legacy baseline mode-share table and rewrote the results around the seed-based summaries instead of the incomplete export.","addressed","We removed the incomplete baseline table from the manuscript rather than defending a partial export as a full mode split.",""
"Reviewer 1","R1-WX7","Explain why optimal subsidy allocation pushes low-income groups toward shared bikes, shared cars, and public transport while pushing high-income groups away from cars, and report how trip counts vary with subsidies.","interpretation","Policy Analysis Results; Policy Implications","Robustness Analysis","cross_policy_analysis_results/optimal_allocations_comparison.csv; MaaS-Centralised/Total_system_travel_time_seed_opt_runs/merged_summary_20260228_133748/trip_summary_mean_std_ci95.csv","Figures 17-21 replacement; Table progressive_structure","Interpret the updated allocation patterns and use trip-summary evidence to explain them.","Rewrote the results to report the dominant allocation components at the revised optima and added trip-count and average-trip-time evidence for the total-system analysis.","addressed","We now discuss which allocation cells dominate each objective-specific optimum and use the trip summary to show that efficiency changes come from moderate time reductions rather than dramatic trip growth.",""
"Reviewer 1","R1-WX8","Do the reported subsidy-use shares by income group simply reflect group sizes, and why are some subsidies not used?","interpretation","Mode Share Equity Results; Policy Implications","Calibration and Validation","cross_policy_analysis_results/income_share_at_optima.csv; MaaS-Centralised/mae_seed_opt_runs/merged_summary_20260222_122159/summary_mean_std_ci95.csv; MaaS-Centralised/Travel_time_equity_seed_opt_runs/merged_summary_20260225_161313/summary_mean_std_ci95.csv; MaaS-Centralised/Total_system_travel_time_seed_opt_runs/merged_summary_20260228_133748/total_system_travel_time__summary_mean_std_ci95.csv","Figures 8/14/20 replacements; Figure 29","Clarify the difference between population share, allocation share, and realised subsidy use, and explain budget saturation.","Added text stating that aggregate subsidy shares are not mechanically identical to population shares and that declining budget use reflects saturation rather than accounting error.","addressed","The revised results now distinguish allocation shares from group sizes and explain unused subsidies as a saturation effect in a bounded-demand system.",""
"Reviewer 1","R1-WX9","Is the recommended range consistent with previous findings and can equity improve by worsening outcomes for others?","discussion","Cross-Policy Synthesis; Policy Implications; Conclusions","Competing Benefits Calculation status note","cross_policy_analysis_results/policy_recommendations.csv; cross_policy_analysis_results/top_performing_policies.csv; paper/tex/main.tex","Figures 24-29","Replace the old 54-72 range with the revised seed-based ranges and discuss the interpretation more cautiously.","Replaced the old range with seed-based ranges, added explicit wording that a better equity score is not treated as proof of a Pareto improvement, and linked the scenario-specific interpretation to transport-equity scholarship that prioritises disadvantaged groups rather than equal nominal benefits.","addressed","We now present the revised FPS recommendations as ranges or plateaus, make the cross-group trade-offs explicit, and tie the interpretation back to the transport-equity literature already cited in the manuscript.",""
"Reviewer 1","R1-O1","The title is too broad because the article evaluates subsidy allocation policies only.","overstatement","Title","None","paper/tex/main.tex","Title","Narrow the title to subsidy-allocation scope.","Changed the title to ABM-ETOP: An Agent-Based Framework for Evaluating Multimodal Subsidy Allocation Policies for Equity and Efficiency.","addressed","The title now reflects the actual policy scope of the paper.",""
"Reviewer 1","R1-O2","The paper claims ABM-ETOP overcomes limitations of other models as validated through comparisons, but no such comparisons are presented.","overstatement","Literature Review and Research Gaps","None","paper/tex/main.tex","Table model_comparison","Tone down the comparison claim and describe Table 2 as conceptual rather than empirical validation.","Rewrote the ABM-ETOP positioning paragraph to describe the table as a conceptual capability comparison rather than a validated benchmark.","addressed","We removed the unsupported claim of validation through direct comparisons.",""
"Reviewer 1","R1-O3","The paper appears to equate horizontal equity with total system travel time or system-wide efficiency without sufficient justification.","overstatement","Framework metric definitions; Results; Conclusions","Policy Objectives and Metrics","paper/tex/main.tex; paper/tex/appendix.tex","Figures 22-29","Separate equity-focused metrics from the efficiency metric and stop treating TSTT as a direct horizontal-equity index.","Revised the metric definitions and results language to describe TSTT as a system-efficiency outcome rather than as a full horizontal-equity measure.","addressed","The revised manuscript now distinguishes clearly between equity-focused outcomes and the efficiency outcome.",""
"Reviewer 1","R1-O4","The paper claims to address the implementation gap in transport policy, but the scenario is too simplified to support that claim.","overstatement","Introduction; Policy Implications; Methodological Contribution; Limitations","Calibration and Validation","paper/tex/main.tex; paper/tex/appendix.tex","Implementation table","Remove or qualify implementation-gap claims and reposition the framework as stylised scenario analysis.","Rewrote the introduction, implications, and methodological-contribution sections to position ABM-ETOP as a stylised subsidy-allocation analysis framework rather than a closed implementation-gap solution.","addressed","We now present the framework as a stylised scenario-analysis tool and treat empirical implementation as future work.",""
"Reviewer 1","R1-Q1","How does the framework transfer to city scale?","question","Policy Implications; Limitations","Calibration and Validation","paper/tex/main.tex; paper/tex/appendix.tex","Implementation table","State the current transfer limits and what would be required for city-scale use.","Added explicit transfer text stating that city-scale use would require an empirical network, local fare and demand data, calibrated behavioural parameters, and rerunning the seed-based and deterministic checks on that case.","addressed","We now answer the city-scale question directly by outlining the required empirical-network, demand, calibration, and robustness steps without claiming that the present stylised case is already city-scale.",""
"Reviewer 1","R1-Q2","Is the approach applicable to real-world cases and how?","question","Policy Implications; Limitations","Calibration and Validation","paper/tex/main.tex; paper/tex/appendix.tex","Implementation table","Explain how the workflow could be ported to empirical cases without overstating readiness.","Added an illustrative implementation workflow based on local data assembly, empirical calibration, repeated-seed stress testing, ex-post monitoring, and rerunning the deterministic control as an interpretive check on the empirical case.","addressed","The revised paper now explains how the workflow can be ported to an empirical case, while still stating clearly that the current manuscript reports a stylised scenario rather than an executed real-world deployment.",""
"Reviewer 1","R1-Q3","Is it a good recommendation to encourage car services in cities with severe congestion?","question","Policy Implications","None","paper/tex/main.tex; cross_policy_analysis_results/optimal_allocations_comparison.csv","Policy implications text","Add a caution that observed car-service support in the stylised scenario does not imply a universal recommendation for congested cities.","Added explicit cautionary text that car-service support in the current scenario should not be generalized to congested cities without local network and emissions testing.","addressed","We now state explicitly that the car-service pattern is scenario-specific and must be re-tested under local congestion and emissions constraints.",""
"Reviewer 1","R1-Q4","Can the paper give precise numbers for how many policies were explored, in what time, and with what computational power?","question","Optimisation Methodology","Optimisation Methodology","MaaS-Centralised/spf_abm_analysis_separate/mode_share_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/travel_time_equity_optimization.py; MaaS-Centralised/spf_abm_analysis_separate/total_system_travel_time_optimization.py; Kantana-Job-Script/mode_share_optimization.pbs; Kantana-Job-Script/mae_sim_array.pbs; MaaS-Centralised/tte_det_1fps.o7541950; MaaS-Centralised/tte_det_fixed_policy.o7542655; MaaS-Centralised/tstt_det_1fps.o7541951; MaaS-Centralised/tstt_det_fixed_policy.o7542654; MaaS-Centralised/tstt_opt_seed.o7514748.3; MaaS-Centralised/tstt_opt_seed.o7514748.7","Algorithm 2","Document the number of FPS values, dimensions, initial samples, BO updates, and any recoverable compute-environment details; report runtime only if recoverable.","Added exact evaluation counts to the appendix, documented the preserved PBS job-resource requests, and added recoverable measured walltimes from preserved scheduler outputs for the deterministic jobs and representative total-system seed-array jobs.","partial","We now report exact policy-count and evaluation-count figures, preserved resource requests, and the measured walltimes that can be recovered safely from local scheduler logs.","Measured walltimes are recoverable only for the preserved deterministic jobs and representative total-system seed-array jobs, not for every optimisation objective in the revised package."
"Reviewer 1","R1-Q5","Are commuter-agent attributes internally consistent, for example age and disability?","question","Framework description; Limitations","Agent-Based Model Development","paper/tex/appendix.tex; MaaS-Centralised/spf_abm_analysis_deterministic/deterministic_scenarios.py; MaaS-Centralised/spf_abm_analysis_deterministic/agent_commuter_03.py","None","State the implemented commuter attributes and clarify how the behavioural rules use them.","Expanded the commuter-agent description to include the income attribute, the audited marginal weights for health/payment/disability/tech access, and the implemented penalty hooks for disability, age/health, and no-tech-access cases.","addressed","We now explain that the current model samples commuter attributes from weighted marginals and applies them through explicit penalty and pricing rules, while identifying the population as stylised rather than jointly calibrated.",""
"Reviewer 1","R1-F1","Page 1: citation phrasing around Martens (2016).","format","Introduction","None","paper/tex/main.tex","None","Clean the sentence and citation wording.","Rewrote the introduction paragraph containing the Martens citation.","addressed","The introductory citation sentence was rewritten for grammar and flow.",""
"Reviewer 1","R1-F2","Page 1: typo reugular.","format","Introduction","None","paper/tex/main.tex","None","Correct the typo.","The affected sentence was rewritten.","addressed","The typo no longer appears in the revised introduction.",""
"Reviewer 1","R1-F3","Page 1: heterogeneous advantages of the original designed flexible agent-based model.","format","Introduction","None","paper/tex/main.tex","None","Rewrite the awkward sentence.","Replaced the sentence with a clearer description of the framework and its scope.","addressed","The introduction no longer uses the flagged wording.",""
"Reviewer 1","R1-F4","Page 2: particularly focus should be focused.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct the grammar.","The paragraph was rewritten.","addressed","The grammar issue was removed during the literature rewrite.",""
"Reviewer 1","R1-F5","Page 2: Activity-based models is a powerful tool.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct subject-verb agreement.","The activity-based-models subsection was rewritten.","addressed","The subsection now uses correct grammar.",""
"Reviewer 1","R1-F6","Page 2: Despite of the advantages.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct the phrase.","The paragraph was rewritten.","addressed","The flagged phrase no longer appears.",""
"Reviewer 1","R1-F7","Page 2: the activity models should be activity-based models.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Use consistent terminology.","The activity-based-models subsection was rewritten with consistent terminology.","addressed","The terminology is now consistent.",""
"Reviewer 1","R1-F8","Page 2: The chalenges.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct the typo.","The paragraph was rewritten.","addressed","The typo no longer appears.",""
"Reviewer 1","R1-F9","Page 3: extra space before comma in computational intensiveness ,.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct punctuation.","The paragraph was rewritten.","addressed","The punctuation issue was removed during rewrite.",""
"Reviewer 1","R1-F10","Page 3: MATSim is an open-source activity-based model should say framework.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct the term used for MATSim.","Changed MATSim to an open-source activity-based modelling framework.","addressed","The revised text now uses framework for MATSim.",""
"Reviewer 1","R1-F11","Page 3: The lack of detailed provider response modelling mean should be means.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct subject-verb agreement.","The POLARIS sentence was rewritten.","addressed","The grammar issue no longer appears.",""
"Reviewer 1","R1-F12","Page 3: similar computational and data challenges similar to activity-based models.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Rewrite the repetitive phrase.","Rewrote the other-ABMs subsection.","addressed","The repeated wording was removed.",""
"Reviewer 1","R1-F13","Page 3: evaluating complex subsidy structures should be rephrased because evaluation and optimization are different.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Rephrase the sentence to distinguish evaluation from optimization.","Rewrote the sentence so it now refers to lacking an optimisation layer for structured FPS and PBS search.","addressed","The revised sentence distinguishes evaluation from optimisation.",""
"Reviewer 1","R1-F14","Page 3: activity based models should be activity-based models.","format","Literature Review and Research Gaps","None","paper/tex/main.tex","None","Correct hyphenation and terminology.","Rewrote the subsection.","addressed","The wording is now consistent.",""
"Reviewer 1","R1-F15","Page 4: environment parameters E should clarify what is environment versus emerging demand.","format","Framework formalization","Parameter Specifications","paper/tex/main.tex; paper/tex/appendix.tex","None","Clarify that environment is exogenous and realised demand is endogenous.","Added explicit appendix text that E contains exogenous setting variables and that realised trip requests are endogenous.","addressed","The revised appendix now separates environment from endogenous demand generation.",""
"Reviewer 1","R1-F16","Page 6: see first cell of the last row of Table 2.","format","Table model_comparison","None","paper/tex/main.tex","Table model_comparison","Inspect and clean the flagged table-cell wording or formatting.","Standardized the comparison-table row labels, corrected the last-row first cell to `ABM-ETOP (this study)`, and cleaned the surrounding cell spacing.","addressed","We revised the last row of Table 2 directly so the model label is explicit and the row formatting is consistent with the rest of the table.",""
"Reviewer 1","R1-F17","Page 6: In the qeuation.","format","Framework metric definitions","None","paper/tex/main.tex","None","Correct the typo.","The metric paragraph was rewritten.","addressed","The typo no longer appears.",""
"Reviewer 1","R1-F18","Page 7: current simulaiton.","format","Simulation process","None","paper/tex/main.tex","None","Correct the typo.","The simulation-process paragraph was rewritten.","addressed","The typo no longer appears in the revised text.",""
"Reviewer 1","R1-F19","Figure 3: the spatial grid is described as 85x85 but only a 55x55 grid is shown.","format","Framework figure caption","None","paper/tex/main.tex; paper/Images/3_spatial_dist_current_income.png","Figure 3","Correct the caption so it matches the actual visualisation.","Changed the Figure 3 caption to describe the image as a reduced-resolution visualisation export rather than a literal rendering of the optimisation grid.","addressed","The caption now explains that the figure is an illustrative reduced-resolution export, not the 100x100 optimisation environment.",""
"Reviewer 1","R1-F20","Page 9: 12-dimensional space of subsidy percentages across income groups and transport modes needs explanation.","format","Optimisation Methodology","Optimisation Methodology","paper/tex/main.tex; paper/tex/appendix.tex","Algorithm 2","Explain how 12 dimensions arise.","Added explicit text that the 12 dimensions come from 3 income groups crossed with 4 mode classes.","addressed","The methods section now explains the dimensionality directly.",""
"Reviewer 1","R1-F21","Page 9: we focused on examining should start with We.","format","Policy Analysis Results","None","paper/tex/main.tex","None","Correct the sentence casing and grammar.","The results opening paragraph was rewritten.","addressed","The results section now opens with a corrected sentence.",""
"Reviewer 1","R1-F22","Page 10: highlighted inequity should likely be highlighting.","format","Legacy mode-share results text","None","paper/tex/main.tex","None","Correct the participle or remove the sentence during rewrite.","The legacy sentence was removed in the rewritten results section.","addressed","The flagged wording is no longer present.",""
"Reviewer 1","R1-F23","Page 12: Figure 20 deomstrated.","format","Legacy total-system results text","None","paper/tex/main.tex","None","Correct the typo or rewrite the sentence.","The total-system-results section was rewritten and the typo removed.","addressed","The typo no longer appears.",""
"Reviewer 1","R1-F24","Page 15: The programme results in a net increase of 61,564 tonnes of CO2 annually was flagged.","format","Economic appraisal section","Competing Benefits Calculation","paper/tex/main.tex; paper/tex/appendix.tex","Economic appraisal section","Remove unsupported environmental monetization claims from the active manuscript.","Deleted the city-scale monetized environmental-impacts claim from the main text and converted the appendix benefits section into a status note.","addressed","The unsupported emissions-cost claim was removed from the active manuscript narrative.",""
"Reviewer 1","R1-F25","Page 15: This ensures not only technical capability but also broad community acceptance Quay (2010) sentence flagged.","format","Implementation discussion","None","paper/tex/main.tex","Implementation table","Rewrite or remove the awkward sentence.","Replaced the implementation section with a shorter, more cautious workflow that does not rely on the flagged sentence.","addressed","The problematic sentence was removed during the implementation rewrite.",""
"Reviewer 1","R1-F26","Figure ordering is incorrect for Figures 15/16, 19/20, and 26/27/28.","format","Results and Synthesis figure order","None","paper/tex/main.tex","Figures 14-29","Reorder the figure blocks in source order.","The rewritten results and synthesis sections now place the retained figure blocks in consistent numerical order.","addressed","The figure order in the revised source now follows the numbering sequence.",""
"Reviewer 1","R1-F27","Figure 1: Circle size and cell color equal allocation percentage but the cells are all green.","format","Framework architecture discussion","None","paper/Images/1_abm_etop_framework_fixed.svg; paper/Images/1_abm_etop_framework_fixed.png","Figure 1","Regenerate or revise the schematic if the source file is available.","Regenerated Figure 1 as a manuscript-local schematic with consistent allocation encoding and updated the caption to explain that darker cells and larger circles indicate higher illustrative allocation percentages.","addressed","Figure 1 was replaced with a corrected local schematic, so the caption and visual encoding now agree.",""
"Reviewer 1","R1-F28","Figure 4: BikeShare1 shows a peak around timestep 60 but a very small price impact.","format","Simulation process discussion","None","paper/tex/main.tex; paper/Images/4_dynamic_pricing_analysis.png","Figure 4","Clarify that the plot is illustrative and that price updates are provider-specific.","Revised the Figure 4 caption and surrounding text to explain that the trace is illustrative and that price changes depend on provider-specific demand-capacity ratios and smoothing rules.","addressed","The revised caption now explains why utilisation spikes need not imply proportional instantaneous price spikes.",""
"Reviewer 1","R1-F29","Figure 25: the FPS text at the bottom right is hard to read.","format","Cross-Policy Synthesis","None","cross_policy_analysis_results/cross_objective_performers.png","Figure 25","Regenerate the figure with improved readability.","Replaced the old figure reference with the regenerated cross-policy image produced by the updated cross-policy analysis script.","addressed","Figure 25 now points to the regenerated cross-objective comparison output.",""
"Reviewer 1","R1-F30","Appendix A1.1.1: the agents should have an income attribute that is missing.","format","None","Agent-Based Model Development","paper/tex/appendix.tex","Appendix commuter-agents bullet list","Add the missing income attribute to the commuter-agent description.","Added the income-group attribute to the commuter-agent list and tied it to subsidy targeting, value of time, and utility coefficients.","addressed","The appendix now includes the commuter income attribute explicitly.",""
